sample_idx,baseline,avg_kl,exact_match,num_masks
0,ground_truth,-9.080395102500916e-09,1,1
0,untouched,5.428674221038818,0,1
0,random_token,1.7469960451126099,0,1
0,cond_argmax,-9.080395102500916e-09,1,1
0,cond_sample,1.2867233753204346,0,1
0,cond_topk_rescore,1.2867233753204346,0,1
0,gibbs,-9.080395102500916e-09,1,1
1,ground_truth,-2.5692088456708007e-09,1,1
1,untouched,10.389946937561035,0,1
1,random_token,10.52872085571289,0,1
1,cond_argmax,9.617908477783203,0,1
1,cond_sample,13.173284530639648,0,1
1,cond_topk_rescore,11.760943412780762,0,1
1,gibbs,10.389946937561035,0,1
2,ground_truth,4.470348358154297e-08,1,1
2,untouched,4.197887897491455,0,1
2,random_token,5.0762834548950195,0,1
2,cond_argmax,4.470348358154297e-08,1,1
2,cond_sample,4.470348358154297e-08,1,1
2,cond_topk_rescore,4.470348358154297e-08,1,1
2,gibbs,4.470348358154297e-08,1,1
3,ground_truth,-2.2351741790771484e-08,1,1
3,untouched,0.30918049812316895,0,1
3,random_token,6.257505416870117,0,1
3,cond_argmax,-2.2351741790771484e-08,1,1
3,cond_sample,-2.2351741790771484e-08,1,1
3,cond_topk_rescore,-2.2351741790771484e-08,1,1
3,gibbs,-2.2351741790771484e-08,1,1
4,ground_truth,-1.4915940482751466e-08,1,1
4,untouched,7.636383056640625,0,1
4,random_token,15.534939765930176,0,1
4,cond_argmax,6.655187606811523,0,1
4,cond_sample,6.655187606811523,0,1
4,cond_topk_rescore,0.07046867907047272,0,1
4,gibbs,7.636383056640625,0,1
5,ground_truth,8.195473810701515e-08,1,1
5,untouched,4.463539123535156,0,1
5,random_token,4.732004642486572,0,1
5,cond_argmax,8.195473810701515e-08,1,1
5,cond_sample,8.195473810701515e-08,1,1
5,cond_topk_rescore,8.195473810701515e-08,1,1
5,gibbs,8.195473810701515e-08,1,1
6,ground_truth,0.0,1,1
6,untouched,10.67827320098877,0,1
6,random_token,6.447353839874268,0,1
6,cond_argmax,0.0,1,1
6,cond_sample,3.3368263244628906,0,1
6,cond_topk_rescore,2.521496057510376,0,1
6,gibbs,0.0,1,1
7,ground_truth,-9.664518074714579e-10,1,1
7,untouched,15.475212097167969,0,1
7,random_token,11.803348541259766,0,1
7,cond_argmax,13.844277381896973,0,1
7,cond_sample,13.698385238647461,0,1
7,cond_topk_rescore,7.184778690338135,0,1
7,gibbs,7.184778690338135,0,1
8,ground_truth,6.186121481732698e-08,1,1
8,untouched,7.52476692199707,0,1
8,random_token,8.842453002929688,0,1
8,cond_argmax,6.186121481732698e-08,1,1
8,cond_sample,6.186121481732698e-08,1,1
8,cond_topk_rescore,6.186121481732698e-08,1,1
8,gibbs,6.186121481732698e-08,1,1
9,ground_truth,2.9744965601707918e-08,1,1
9,untouched,1.6684625148773193,0,1
9,random_token,1.2931621074676514,0,1
9,cond_argmax,2.9744965601707918e-08,1,1
9,cond_sample,0.15831860899925232,0,1
9,cond_topk_rescore,2.9744965601707918e-08,1,1
9,gibbs,2.9744965601707918e-08,1,1
10,ground_truth,3.103832568740472e-08,1,1
10,untouched,5.509026050567627,0,1
10,random_token,9.464269638061523,0,1
10,cond_argmax,3.184704303741455,0,1
10,cond_sample,3.184704303741455,0,1
10,cond_topk_rescore,3.184704303741455,0,1
10,gibbs,5.509026050567627,0,1
11,ground_truth,-4.6447894419543445e-09,1,1
11,untouched,9.876945495605469,0,1
11,random_token,8.786378860473633,0,1
11,cond_argmax,2.253957509994507,0,1
11,cond_sample,14.398539543151855,0,1
11,cond_topk_rescore,2.1110827922821045,0,1
11,gibbs,9.876945495605469,0,1
12,ground_truth,-5.960464477539063e-08,1,1
12,untouched,3.2947869300842285,0,1
12,random_token,5.091647624969482,0,1
12,cond_argmax,-5.960464477539063e-08,1,1
12,cond_sample,-5.960464477539063e-08,1,1
12,cond_topk_rescore,-5.960464477539063e-08,1,1
12,gibbs,-5.960464477539063e-08,1,1
13,ground_truth,-6.023709886449069e-08,1,1
13,untouched,16.0880184173584,0,1
13,random_token,8.11181926727295,0,1
13,cond_argmax,14.484485626220703,0,1
13,cond_sample,9.861126899719238,0,1
13,cond_topk_rescore,8.94681453704834,0,1
13,gibbs,12.426946640014648,0,1
14,ground_truth,-2.4041271751151783e-10,1,1
14,untouched,10.385851860046387,0,1
14,random_token,2.853548526763916,0,1
14,cond_argmax,-2.4041271751151783e-10,1,1
14,cond_sample,-2.4041271751151783e-10,1,1
14,cond_topk_rescore,2.1266376972198486,0,1
14,gibbs,-2.4041271751151783e-10,1,1
15,ground_truth,4.3756358536484186e-08,1,1
15,untouched,15.316385269165039,0,1
15,random_token,11.438121795654297,0,1
15,cond_argmax,17.969579696655273,0,1
15,cond_sample,13.395086288452148,0,1
15,cond_topk_rescore,11.362264633178711,0,1
15,gibbs,15.316385269165039,0,1
16,ground_truth,-7.450580596923828e-09,1,1
16,untouched,11.841154098510742,0,1
16,random_token,9.326135635375977,0,1
16,cond_argmax,15.664740562438965,0,1
16,cond_sample,15.664740562438965,0,1
16,cond_topk_rescore,7.2408246994018555,0,1
16,gibbs,11.841154098510742,0,1
17,ground_truth,-1.7695128917694092e-08,1,1
17,untouched,11.573588371276855,0,1
17,random_token,17.22922134399414,0,1
17,cond_argmax,7.4871368408203125,0,1
17,cond_sample,7.4871368408203125,0,1
17,cond_topk_rescore,7.4871368408203125,0,1
17,gibbs,7.4871368408203125,0,1
18,ground_truth,-1.3642420526593924e-12,1,1
18,untouched,6.98486852645874,0,1
18,random_token,12.177387237548828,0,1
18,cond_argmax,0.00122352025937289,0,1
